iter	sc_Vmax(1)	Km(1)	LnPrior	LnData	LnPosterior
1015	0.128102	122.176	-6.698129e+00	-1.474923e+03	-1.481621e+03
1020	0.111542	114.781	-6.445550e+00	-1.476205e+03	-1.482650e+03
1025	0.117693	109.532	-6.444765e+00	-1.474010e+03	-1.480454e+03
1030	0.119997	113.048	-6.511525e+00	-1.474057e+03	-1.480568e+03
1035	0.117477	113.048	-6.486144e+00	-1.473652e+03	-1.480138e+03
1040	0.115906	112.179	-6.459425e+00	-1.473534e+03	-1.479993e+03
1045	0.115906	112.179	-6.459425e+00	-1.473534e+03	-1.479993e+03
1050	0.115906	111.154	-6.446759e+00	-1.473425e+03	-1.479872e+03
1055	0.120661	111.623	-6.500620e+00	-1.474660e+03	-1.481161e+03
1060	0.111419	108.108	-6.361617e+00	-1.473031e+03	-1.479393e+03
1065	0.114693	108.108	-6.395987e+00	-1.473305e+03	-1.479701e+03
1070	0.114693	110.316	-6.423811e+00	-1.473297e+03	-1.479721e+03
1075	0.114693	110.316	-6.423811e+00	-1.473297e+03	-1.479721e+03
1080	0.114693	109.88	-6.418357e+00	-1.473264e+03	-1.479682e+03
1085	0.111485	109.88	-6.384693e+00	-1.473528e+03	-1.479913e+03
1090	0.113139	109.88	-6.402142e+00	-1.473263e+03	-1.479666e+03
1095	0.113139	107.527	-6.372378e+00	-1.473030e+03	-1.479403e+03
1100	0.111199	105.286	-6.323017e+00	-1.472762e+03	-1.479085e+03
1105	0.109027	105.286	-6.299701e+00	-1.472618e+03	-1.478917e+03
1110	0.109027	104.833	-6.293802e+00	-1.472540e+03	-1.478833e+03
1115	0.114503	104.618	-6.349040e+00	-1.474222e+03	-1.480571e+03
1120	0.114898	113.486	-6.465041e+00	-1.473994e+03	-1.480459e+03
1125	0.113354	109.887	-6.404483e+00	-1.473253e+03	-1.479657e+03
1130	0.113354	109.887	-6.404483e+00	-1.473253e+03	-1.479657e+03
1135	0.116342	109.887	-6.435438e+00	-1.473516e+03	-1.479951e+03
1140	0.111589	105.408	-6.328736e+00	-1.472834e+03	-1.479163e+03
